table[0]:  2 0
table[12020]: pointing 5 0
table[12034]: give 40 0
table[12060]: tend 3 0
table[12065]: mad 22 0
table[12075]: man 16 0
table[12077]: map 2 0
table[12079]: mar 1 0
table[12086]: may 54 0
table[12098]: acceptance 2 0
table[12109]: advance 4 0
table[12128]: me' 2 0
table[12193]: term 1 0
table[12199]: men 16 0
table[12205]: met 3 0
table[12236]: inward 4 0
table[12306]: pronounced 1 0
table[12370]: straying 1 0
table[12375]: smoking 2 0
table[12378]: fancying 1 0
table[12424]: cools 1 0
table[12431]: wondrous 2 0
table[12468]: obsequious 2 0
table[12518]: mow 1 0
table[12531]: masked 3 0
table[12563]: hunted 1 0
table[12574]: straight 9 0
table[12639]: fishes 1 0
table[12685]: mud 1 0
table[12689]: answer 16 0
table[12690]: experiment 2 0
table[12722]: snuff 1 0
table[12800]: assailed 2 0
table[12816]: else's 1 0
table[12834]: supposed 2 0
table[12835]: unused 4 0
table[12839]: feeding 4 0
table[12864]: railway 2 0
table[12866]: marseilles 1 0
table[12907]: serpents 3 0
table[12910]: direction 5 0
table[12955]: seals 2 0
table[13046]: screaming 1 0
table[13047]: nay 4 0
table[13090]: climb 1 0
table[13110]: couldn't 9 0
table[13142]: watchman 1 0
table[13169]: new 32 0
table[13171]: commodity 1 0
table[13202]: paris 5 0
table[13254]: times 18 0
table[13256]: picture's 1 0
table[13281]: never 68 0
table[13314]: onions 1 0
table[13329]: veins 2 0
table[13348]: explain 10 0
table[13350]: honest 2 0
table[13363]: timid 3 0
table[13430]: commence 1 0
table[13436]: askance 2 0
table[13474]: nor 66 0
table[13476]: not 338 0
table[13479]: now 113 0
table[13502]: presentment 1 0
table[13543]: parts 9 0
table[13549]: party 11 0
table[13573]: inhibited 1 0
table[13601]: jacks 2 0
table[13644]: cushion 2 0
table[13646]: grecian 1 0
table[13701]: governs 1 0
table[13716]: composition 2 0
table[13722]: honouring 1 0
table[13727]: makes 24 0
table[13731]: smallest 2 0
table[13847]: celestial 1 0
table[13852]: perusal 1 0
table[13896]: wailing 1 0
table[13897]: patted 1 0
table[13920]: easily 3 0
table[13956]: dead 21 0
table[13958]: deaf 1 0
table[13960]: planning 1 0
table[13964]: deal 12 0
table[13970]: dear 52 0
table[13971]: comments 2 0
table[13972]: sanctified 1 2
table[14003]: debt 1 0
table[14025]: drinking 1 0
table[14080]: odd 1 0
table[14089]: deem 1 0
table[14092]: deep 15 0
table[14132]: defy 1 0
table[14144]: off 76 0
table[14158]: oft 8 0
table[14233]: enter 6 0
table[14242]: newer 2 0
table[14243]: oil 1 0
table[14265]: glad 13 0
table[14267]: thanks 3 0
table[14273]: shine 4 0
table[14274]: friend's 2 0
table[14293]: shiny 1 0
table[14311]: addition 2 0
table[14328]: old 44 0
table[14340]: loving 11 0
table[14341]: unprovident 1 1
table[14371]: weakens 1 0
table[14380]: deny 5 0
table[14391]: one 152 0
table[14398]: family 1 0
table[14419]: fortify 2 0
table[14430]: handed 3 0
table[14433]: oop 7 0
table[14440]: famine 1 0
table[14444]: affectionately 1 0
table[14478]: provided 2 0
table[14487]: curtain 1 0
table[14521]: desk 1 0
table[14522]: count's 2 0
table[14550]: than 80 0
table[14556]: that 636 0
table[14571]: backward 4 0
table[14593]: millions 1 0
table[14604]: dreading 1 0
table[14610]: result 1 0
table[14621]: our 42 0
table[14623]: out 141 0
table[14640]: uncommonly 1 0
table[14665]: thee 173 0
table[14670]: owe 1 0
table[14672]: whether 18 0
table[14673]: them 113 0
table[14674]: then 169 0
table[14677]: owl 3 0
table[14679]: own 45 0
table[14685]: they 193 0
table[14688]: man's 2 0
table[14706]: 'this 1 0
table[14753]: lion's 1 0
table[14769]: filed 1 0
table[14778]: stelled 1 0
table[14798]: thin 1 0
table[14803]: this 250 0
table[14887]: complete 2 0
table[14894]: 'thou 1 0
table[14929]: nature's 6 0
table[14931]: feeble 3 0
table[14951]: feebly 1 0
table[14958]: pan 1 0
table[14959]: coral 1 0
table[14964]: pat 3 0
table[14967]: paw 3 0
table[14968]: although 9 1
table[14969]: pay 3 0
table[14988]: woes 1 0
table[14991]: thou 243 0
table[15001]: fills 1 0
table[15006]: rudeness 1 0
table[15015]: blazon 1 0
table[15043]: suited 2 0
table[15048]: hatred 1 0
table[15069]: prizing 1 0
table[15078]: 'thus 1 0
table[15082]: pen 10 0
table[15088]: pet 1 0
table[15096]: oaths' 1 0
table[15102]: madding 1 0
table[15117]: treading 2 0
table[15122]: esteemed 2 0
table[15160]: woke 1 0
