table[0]:  3 0
table[8021]: suffer 3 0
table[8032]: steals 1 0
table[8033]: touch 3 0
table[8050]: chanced 1 0
table[8069]: tail 17 0
table[8070]: heals 1 0
table[8124]: take 71 0
table[8127]: remain 7 0
table[8138]: what 437 0
table[8155]: tale 7 0
table[8157]: feasts 1 0
table[8161]: talk 29 0
table[8162]: tall 1 0
table[8168]: forth 13 0
table[8182]: perceived 1 0
table[8185]: forty 3 0
table[8186]: tame 1 0
table[8190]: i've 67 0
table[8227]: she'd 3 0
table[8234]: reckoned 1 0
table[8241]: heard 65 0
table[8242]: she's 13 0
table[8256]: when 395 0
table[8257]: heart 109 0
table[8259]: field 3 0
table[8307]: love's 51 0
table[8318]: heats 1 0
table[8321]: fiend 3 0
table[8325]: blinking 1 0
table[8328]: isbel 1 0
table[8333]: strange 23 0
table[8356]: tart 1 0
table[8378]: task 1 0
table[8386]: heavy 15 0
table[8403]: remark 19 0
table[8410]: earls 3 0
table[8416]: early 1 0
table[8426]: pour'st 1 0
table[8427]: excel 1 0
table[8448]: blasts 3 0
table[8462]: posting 1 0
table[8466]: fiery 1 0
table[8474]: iii 3 0
table[8490]: triumphantly 3 0
table[8495]: inquisitively 1 0
table[8497]: ornaments 1 0
table[8501]: otherwise 11 0
table[8527]: burned 1 0
table[8529]: saucy 3 0
table[8533]: confine 1 0
table[8565]: whom 27 0
table[8569]: mustard 5 0
table[8570]: ill 45 0
table[8602]: accuse 5 0
table[8608]: antiquity 3 0
table[8623]: inc 3 0
table[8631]: ink 5 0
table[8633]: transgression 1 0
table[8646]: equal 5 0
table[8647]: earth 31 0
table[8654]: odours 1 1
table[8720]: unmoved 1 0
table[8734]: springs 1 0
table[8762]: outright 1 0
table[8782]: course 57 0
table[8823]: consent 3 0
table[8825]: its 111 0
table[8827]: baked 1 0
table[8838]: respect 9 0
table[8857]: lengths 1 0
table[8859]: listened 1 0
table[8861]: thoroughly 3 0
table[8864]: burthens 1 0
table[8872]: herself 167 0
table[8886]: clean 3 0
table[8890]: clear 9 0
table[8920]: slumbers 1 0
table[8942]: learned's 1 0
table[8948]: sorrow 17 0
table[8961]: beside 3 0
table[8968]: seriously 1 0
table[9030]: resort 1 0
table[9037]: estimate 1 0
table[9091]: achieves 1 0
table[9105]: cautiously 5 0
table[9111]: imperfect 1 0
table[9112]: somebody 13 0
table[9131]: admitted 1 0
table[9134]: hallowed 1 0
table[9139]: eased 1 0
table[9154]: uncomfortable 7 0
table[9161]: fountains 5 0
table[9174]: uncomfortably 1 0
table[9177]: wide 17 0
table[9185]: waters 1 0
table[9187]: expense 5 0
table[9191]: watery 1 0
table[9196]: jar 3 0
table[9200]: solely 1 0
table[9201]: jaw 1 0
table[9205]: nicely 3 0
table[9220]: solemn 7 0
table[9239]: wife 3 0
table[9252]: after 111 0
table[9286]: truth's 1 0
table[9301]: altered 5 0
table[9323]: toothpick 1 1
table[9335]: 'will 1 0
table[9410]: clerk 1 0
table[9424]: wild 5 0
table[9432]: will 213 0
table[9440]: wilt 33 0
table[9442]: cousin 1 0
table[9472]: fifth 1 0
table[9486]: wind 9 0
table[9487]: wine 3 0
table[9489]: wing 3 0
table[9493]: wink 7 0
table[9517]: punished 1 0
table[9531]: saved 1 0
table[9538]: decrease 1 0
table[9546]: saves 1 0
table[9566]: live' 3 0
table[9573]: monarch 1 1
table[9585]: noticed 15 0
table[9621]: increase 11 0
table[9625]: temptation 3 0
table[9627]: lived 15 0
table[9631]: wiry 1 0
table[9637]: joy 15 0
table[9642]: wise 7 0
table[9645]: wish 57 0
table[9653]: creating 1 0
table[9676]: with 759 0
table[9687]: wits 5 0
table[9691]: creation 3 0
table[9694]: watching 7 0
table[9748]: protection 1 0
table[9749]: toiled 1 0
table[9753]: notorious 3 1
table[9772]: cannot 31 2
table[9783]: blenches 1 0
table[9805]: jug 1 0
table[9808]: corners 1 0
table[9815]: persuade 1 0
table[9870]: cornets 1 0
table[9991]: magic 1 0
table[10004]: redress 1 0
table[10006]: tongues 7 0
table[10017]: invocate 1 0
table[10020]: balls 1 0
table[10024]: invention 9 0
table[10035]: sufferance 1 0
table[10040]: government 1 0
table[10057]: balmy 1 0
table[10069]: inflaming 1 0
table[10070]: fancied 3 0
table[10073]: fight 11 0
table[10090]: illinois 3 0
table[10110]: eaten 1 0
table[10111]: helena 45 0
table[10112]: executioner's 1 0
table[10123]: gilding 3 0
table[10126]: miracle 1 0
table[10133]: sheds 1 0
table[10142]: recovered 3 0
table[10144]: much 147 0
table[10157]: mischief 1 0
table[10161]: sheep 1 0
table[10182]: removed 11 0
table[10196]: remover 1 0
table[10242]: relieved 1 1
table[10249]: highest 1 0
table[10285]: comes 13 0
table[10288]: key 21 0
table[10330]: unseeing 1 0
table[10336]: deformed'st 1 0
table[10341]: animals 7 0
table[10350]: religion 1 0
table[10391]: kid 9 0
table[10402]: toffee 1 0
table[10423]: lullaby 1 0
table[10446]: entrance 1 0
table[10448]: fresher 1 0
table[10452]: lovely 19 0
table[10457]: murdering 1 0
table[10478]: involved 1 0
table[10492]: services 1 0
table[10507]: bosom's 3 0
table[10523]: beauties 7 0
table[10531]: rabbit 91 0
table[10550]: o'erworn 1 0
table[10560]: beautify 1 0
table[10567]: concealed 1 0
table[10568]: idolatrous 1 0
table[10587]: uncommon 1 0
table[10632]: lovers 3 0
table[10637]: muse 31 0
table[10639]: mistress' 9 0
table[10640]: dare 17 0
table[10642]: drinks 1 0
table[10643]: sanctified 1 1
table[10646]: dark 11 0
table[10652]: must 147 0
table[10655]: dart 1 0
table[10668]: mute 3 0
table[10683]: wires 3 0
table[10684]: wondered 1 0
table[10690]: frantic 1 0
table[10693]: refuse 1 0
table[10695]: attend 5 0
table[10698]: strangely 3 0
table[10702]: date 11 0
table[10706]: commotion 1 0
table[10711]: complain 1 0
table[10758]: luckily 3 0
table[10764]: bames 1 0
table[10766]: amendment 1 0
table[10776]: forgive 1 0
table[10784]: hedge 3 0
table[10811]: wherefore 7 0
table[10816]: sea's 1 0
table[10817]: compounded 1 0
table[10861]: found 87 0
table[10871]: days 41 0
table[10877]: consecrate 1 0
table[10935]: corner 7 0
table[10967]: conceit 5 0
table[10969]: immortal 3 0
table[10988]: join 21 0
table[10989]: rolling 1 0
table[11042]: before 113 0
table[11103]: declare 3 0
table[11104]: lad 1 0
table[11116]: lap 5 0
table[11123]: law 15 0
table[11125]: lay 11 0
table[11132]: grow'st 5 0
table[11133]: people 35 0
table[11155]: paper 9 0
table[11162]: placed 3 0
table[11177]: places 3 0
table[11179]: flock 1 0
table[11207]: sooner 7 0
table[11221]: bear'st 3 0
table[11228]: led 7 0
table[11244]: let 89 0
table[11246]: concert 3 0
table[11272]: jurymen 7 0
table[11287]: fortunately 1 0
table[11313]: record 5 0
table[11314]: library 3 0
table[11339]: wrinkles 9 0
table[11353]: lie 29 0
table[11364]: lip 1 0
table[11365]: opening 5 0
table[11368]: lit 1 0
table[11369]: naming 1 0
table[11379]: teacup 5 0
table[11389]: substantial 1 0
table[11397]: forgetful 1 0
table[11413]: learned 3 0
table[11415]: we're 3 0
table[11451]: closely 1 0
table[11461]: extant 1 0
table[11489]: joys 1 0
table[11515]: contemptuously 3 0
table[11539]: we've 3 0
table[11548]: cruel 17 0
table[11553]: gift 9 0
table[11557]: low 33 0
table[11558]: floor 5 0
table[11581]: pretexts 1 0
table[11589]: traitress 1 0
table[11597]: hadn't 15 0
table[11639]: pains 1 1
table[11671]: tear 1 0
table[11700]: usually 3 0
table[11729]: important 13 0
table[11732]: completely 1 0
table[11746]: noise 5 0
table[11772]: emphasis 1 0
table[11799]: caused 3 0
table[11802]: flown 3 0
table[11804]: congress 3 0
table[11827]: remedy 3 0
table[11841]: graced 1 0
table[11856]: graces 9 0
table[11882]: steely 1 0
table[11894]: changed 15 0
table[11907]: standing 1 0
table[11909]: changes 5 0
table[11911]: banks 3 0
table[11914]: heels 1 0
table[11917]: girl 7 0
table[11943]: dreadful 3 0
table[11963]: particular 9 0
table[11967]: caterpillar 53 0
table[11974]: trampled 1 0
table[11978]: secondly 3 0
table[11984]: sonnets 1 0
table[11990]: crust 1 0
table[12006]: tell 95 0
table[12020]: pointing 9 0
table[12034]: give 79 0
table[12060]: tend 5 0
table[12065]: mad 43 0
table[12075]: man 31 0
table[12077]: map 3 0
table[12079]: mar 1 0
table[12086]: may 107 0
table[12098]: acceptance 3 0
table[12109]: advance 7 0
table[12128]: me' 3 0
table[12193]: term 1 0
table[12199]: men 31 0
table[12205]: met 5 0
table[12236]: inward 7 0
table[12306]: pronounced 1 0
table[12370]: straying 1 0
table[12375]: smoking 3 0
table[12378]: fancying 1 0
table[12424]: cools 1 0
table[12431]: wondrous 3 0
table[12468]: obsequious 3 0
table[12518]: mow 1 0
table[12531]: masked 5 0
table[12563]: hunted 1 0
table[12574]: straight 17 0
table[12639]: fishes 1 0
table[12685]: mud 1 0
table[12689]: answer 31 0
table[12690]: experiment 3 0
table[12722]: snuff 1 0
table[12800]: assailed 3 0
table[12816]: else's 1 0
table[12834]: supposed 3 0
table[12835]: unused 7 0
table[12839]: feeding 7 0
table[12864]: railway 3 0
table[12866]: marseilles 1 0
table[12907]: serpents 5 0
table[12910]: direction 9 0
table[12955]: seals 3 0
table[13046]: screaming 1 0
table[13047]: nay 7 0
table[13090]: climb 1 0
table[13110]: couldn't 17 0
table[13142]: watchman 1 0
table[13169]: new 63 0
table[13171]: commodity 1 0
table[13186]: directed 5 1
table[13202]: paris 9 0
table[13254]: times 35 0
table[13256]: picture's 1 0
table[13281]: never 135 0
table[13314]: onions 1 0
table[13329]: veins 3 0
table[13348]: explain 19 0
table[13350]: honest 3 0
table[13363]: timid 5 0
table[13367]: aspect 1 1
table[13430]: commence 1 0
table[13436]: askance 3 0
table[13474]: nor 131 0
table[13476]: not 675 0
table[13479]: now 225 0
table[13502]: presentment 1 0
table[13543]: parts 17 0
table[13549]: party 21 0
table[13573]: inhibited 1 0
table[13601]: jacks 3 0
table[13644]: cushion 3 0
table[13646]: grecian 1 0
table[13701]: governs 1 0
table[13716]: composition 3 0
table[13722]: honouring 1 0
table[13727]: makes 47 0
table[13731]: smallest 3 0
table[13847]: celestial 1 0
table[13852]: perusal 1 0
table[13896]: wailing 1 0
table[13897]: patted 1 0
table[13920]: easily 5 0
table[13956]: dead 41 0
table[13958]: deaf 1 0
table[13960]: planning 1 0
table[13964]: deal 23 0
table[13970]: dear 103 0
table[13971]: comments 3 0
table[14003]: debt 1 0
table[14025]: drinking 1 0
table[14080]: odd 1 0
table[14089]: deem 1 0
table[14092]: deep 29 0
table[14132]: defy 1 0
table[14144]: off 151 0
table[14158]: oft 15 0
table[14233]: enter 11 0
table[14242]: newer 3 0
table[14243]: oil 1 0
table[14265]: glad 25 0
table[14267]: thanks 5 0
table[14273]: shine 7 0
table[14274]: friend's 3 0
table[14293]: shiny 1 0
table[14311]: addition 3 0
table[14328]: old 87 0
table[14340]: loving 21 0
table[14371]: weakens 1 0
table[14380]: deny 9 0
table[14391]: one 303 0
table[14398]: family 1 0
table[14419]: fortify 3 0
table[14430]: handed 5 0
table[14433]: oop 13 0
table[14440]: famine 1 0
table[14444]: affectionately 1 0
table[14478]: provided 3 0
table[14487]: curtain 1 0
table[14521]: desk 1 0
table[14522]: count's 3 0
table[14550]: than 159 0
table[14556]: that 1271 0
table[14571]: backward 7 0
table[14593]: millions 1 0
table[14604]: dreading 1 0
table[14610]: result 1 0
table[14621]: our 83 0
table[14623]: out 281 0
table[14640]: uncommonly 1 0
table[14665]: thee 345 0
table[14670]: owe 1 0
table[14672]: whether 35 0
table[14673]: them 225 0
table[14674]: then 337 0
table[14677]: owl 5 0
table[14679]: own 89 0
table[14685]: they 385 0
table[14688]: man's 3 0
table[14706]: 'this 1 0
table[14753]: lion's 1 0
table[14769]: filed 1 0
table[14778]: stelled 1 0
table[14798]: thin 1 0
table[14803]: this 499 0
table[14887]: complete 3 0
table[14894]: 'thou 1 0
table[14929]: nature's 11 0
